username,content,date,userlocation,likecount,retweetcount,followers,url
KulturaFizyczna,".@maciej31rybus: Nie mma miłych wspomnień z Petersburga. Przegraliśmy tam ostatnio z Zenitem.
#Euro2021 #euro2020 #strefaeuro #StrefaKibica @EURO2020 #POLSVK #POL #Polska #SVK #KulturaFizyczna",2021-06-14 23:11:37+00:00,Polska,0,0,196,https://twitter.com/KulturaFizyczna/status/1404577296472752128
KulturaFizyczna,"Przemysław Frankowski: Jestem w dobrej lidze, w dobrym klubie i w miejscu w którym jesteśmy szczęśliwi z rodziną. Nie mam innych ofert.
#Euro2021 #euro2020 #strefaeuro #StrefaKibica @EURO2020 #POLSVK #POL #Polska #SVK #KulturaFizyczna",2021-06-14 23:09:10+00:00,Polska,0,0,196,https://twitter.com/KulturaFizyczna/status/1404576678672801796
emocjewsieci,"Pod tagiem #POLSVK słowo ""kurwa"" padło 1609 razy i uplasowało się na 5. miejscu na liście najpopularniejszych słów podczas meczu. #polskagurom #polslo #laczynaspilka #euro2020 #strefaeuro #łączmysię",2021-06-14 23:08:55+00:00,,22,1,11707,https://twitter.com/emocjewsieci/status/1404576615389184000
CZUJNEOKO,Sousa to nie Guardiola czy Klopp #POLSVK,2021-06-14 23:04:00+00:00,,0,0,449,https://twitter.com/CZUJNEOKO/status/1404575376412655617
esse93670118,"Gdy moja córka była w I klasie, na lekcji mówili o tym, kto to jest patriota. Marysia oświadczyła, że jej mama nie jest patriotką. Nie chce oglądać meczy piłki nożnej. Tata mówi, że nie jest patriotką. 😂
To o mnie. Wcale się nie zdenerwowałam #POLSVK , bo nie oglądałam.",2021-06-14 23:03:24+00:00,,5,1,774,https://twitter.com/esse93670118/status/1404575226415955980
GoniecSport,Mateusz Borek i idealne podsumowanie meczu 🤦  #POLSVK #EURO2020 https://t.co/zVw4Zt0QYV,2021-06-14 23:03:16+00:00,"Warszawa, Polska",1,1,85,https://twitter.com/GoniecSport/status/1404575194904158213
ice_nikkie,Mundialeiro nadal takie realne 😂 #pol #POLSVK,2021-06-14 23:00:23+00:00,In My Imagination,0,0,297,https://twitter.com/ice_nikkie/status/1404574469574873090
radkul86,"Tak jak patrzę z perspektywy czasu Boniek jego potraktował coś w stylu ""murzyn zrobił co miał zrobić,murzyn może spadać"",a zatrudnił gościa ze sztabem który kosztuje PZPN 
310 tysięcy zł miesięcznie i ma roczny kontrakt w wysokości 840 tysięcy euro! #POLSVK",2021-06-14 22:55:10+00:00,Łódzkie,5,1,3682,https://twitter.com/radkul86/status/1404573154333401093
BombadreOOOO,#POLSVK @GrzegKrychowiak  VERSUS SŁOCHUJWIECO BEST SKILLS AND GOALS HIGHLIGHT 2021 ([DANZO KUDURO REMIX] https://t.co/TTT2XYWZpK,2021-06-14 22:53:50+00:00,,0,0,34,https://twitter.com/BombadreOOOO/status/1404572818273144834
tyroltaylor,Katastrofalny występ. Po pierwszym meczu dla nas turniej w zasadzie zakończony. A to co przy pierwszej bramce zrobił Bereszyński to dramat #POLSVK #EURO2020,2021-06-14 22:52:03+00:00,,0,0,200,https://twitter.com/tyroltaylor/status/1404572370807967744
WincEnigma,"Tak pada gol. Kryminał. Piłkarzy trzeba rozliczać z podstaw. Oto one: 
1.Piłkarz broniący odwracając się dupą do strzału wylatuje z kadry. 
2.Piłkarz ofensywny prowadząc piłkę nie może na nią patrzeć.
3.Piłkarz po faulu rywala nie może przepraszać (dopiero po 90 minutach).#POLSVK https://t.co/cATxHWhYi6",2021-06-14 22:52:01+00:00,,1,1,841,https://twitter.com/WincEnigma/status/1404572362541043713
KubaKomorniczak,"Z dedykacją dla wszystkich naszych kibiców po meczu #POLSVK:

#euro2020 #pol https://t.co/Vs6TZPyd6g",2021-06-14 22:49:27+00:00,"Ostrów Wielkopolski, Polska",1,0,70,https://twitter.com/KubaKomorniczak/status/1404571718069391360
BETFANPL,Otóż nie. #POLSVK #EURO2020 https://t.co/9QbshJCAvq https://t.co/01dl9nVtg3,2021-06-14 22:48:53+00:00,"Warsaw, Poland",0,0,2433,https://twitter.com/BETFANPL/status/1404571572191571969
kubszton,"Dobra nie poszło nam, ale piłka to jest piękny sport i mecz meczowi nie jest równy dziś bądźmy inni cieszmy się wygraną i szczęściem Słowaków, wyciągnijmy wnioski i lecimy dalej najwyżej wrócimy do Polski. Jutro kolejne piękne mecze Cieszmy się tą imprezą   #POLSVK #Euro",2021-06-14 22:48:03+00:00,,0,0,1,https://twitter.com/kubszton/status/1404571364367949831
KubaKomorniczak,"Po otrzymaniu czerwonej kartki - musiał opuścić boisko. Graliśmy w 10-tkę. Początek kłopotów - Skriniar trafił na 2:1. My mieliśmy jeszcze swoje sytuacje, których nie wykorzystaliśmy. Szansę na awans i dalszą grę na ME dalej są, ale coraz mniejsze. 🙁
#euro2020 #POLSVK #pol",2021-06-14 22:47:07+00:00,"Ostrów Wielkopolski, Polska",0,0,70,https://twitter.com/KubaKomorniczak/status/1404571128220237824
justifiedstoess,"król zasługuje na atencje więc streamujcie 
#방탄소년단 #polslw #DeltaVariant #POLSVK #EURO2020
#POL #YourSofaYourStadium
#POLSLO #Slovakia #reazioneacatena #Elite4
#EliteNetflix #NetflixGeeked
https://t.co/0044JGcYh6",2021-06-14 22:46:52+00:00,"sigan adelante, siempre",2,0,836,https://twitter.com/justifiedstoess/status/1404571065590988807
paulmaroe,no to jeszcze 3 mecze i .......... ida robic normalna kase. #POLSVK https://t.co/r1vhLEqXdV,2021-06-14 22:46:04+00:00,"Las Vegas, NV / Kailua, HI",0,0,1654,https://twitter.com/paulmaroe/status/1404570865258348556
ruggesfern,"strimujcie
#방탄소년단 #polslw #DeltaVariant #POLSVK #EURO2020
#POL #YourSofaYourStadium
#POLSLO #Slovakia #reazioneacatena #Elite4
#EliteNetflix #NetflixGeeked
https://t.co/sneUilKYN7",2021-06-14 22:45:15+00:00,🕸,0,0,564,https://twitter.com/ruggesfern/status/1404570661306109952
Kasia_Gauza,"Gratuluję Polskiej Reprezentacji w piłce nożnej kobiet rozbicia Czech 5:0 ✊⚽️😊

#POLSVK #POLSLO #POL",2021-06-14 22:44:34+00:00,"Gothenburg, Sweden",40,0,2923,https://twitter.com/Kasia_Gauza/status/1404570486063910915
CatolicBarca,@sport_tvppl Co ja paczę ?! Lewy to maksymalnie 60% możliwości Messiego ale gdy on ma wpływ na swoją reprezentacje w 85% to polski  zawodnik tylko w 20%. #leowhy? #strefaeuro #StrefaKibica #ArgentinavsChile #CopaAmerica2021 @LaczyNasPilka #POLSVK #leomessi https://t.co/OBoPL1lmqP,2021-06-14 22:44:09+00:00,Polska ,0,0,57,https://twitter.com/CatolicBarca/status/1404570381294395398
Tamerlan676,Po tym meczu #POLSVK to mówiąc po ludzku najbardziej honorowo byłoby wycofać się z całej imprezy. Wrzucić #koronawirus czy osłabienie po #szczepionka i będzie bez kompromitacji i bez koszmarnych kosztów. To jest ruina nie drużyna. #Boniek #PZPN #TVPinfo #Sousa #Jedziemy,2021-06-14 22:43:57+00:00,,2,0,853,https://twitter.com/Tamerlan676/status/1404570331436695557
