compound,negative,neutral,positive
-0.2584,0.127,0.873,0.0
0.3612,0.0,0.667,0.333
0.4404,0.0,0.756,0.244
-0.8555,0.375,0.526,0.099
-0.6249,0.309,0.608,0.083
0.0,0.0,1.0,0.0
-0.684,0.269,0.731,0.0
-0.3182,0.108,0.892,0.0
0.0,0.0,1.0,0.0
-0.4019,0.137,0.863,0.0
-0.6833,0.156,0.844,0.0
0.4585,0.07,0.761,0.169
0.617,0.181,0.478,0.341
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.493,0.252,0.557,0.191
0.0516,0.112,0.765,0.122
0.7964,0.0,0.552,0.448
0.4939,0.148,0.492,0.361
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.8635,0.164,0.504,0.332
-0.4767,0.383,0.617,0.0
-0.1101,0.14,0.737,0.123
0.128,0.09,0.796,0.114
0.7806,0.121,0.593,0.285
-0.296,0.524,0.476,0.0
0.0,0.0,1.0,0.0
0.9401,0.0,0.711,0.289
0.0,0.0,1.0,0.0
-0.0516,0.148,0.71,0.142
0.7485,0.052,0.736,0.212
-0.8011,0.473,0.527,0.0
0.0,0.0,1.0,0.0
0.9185,0.0,0.611,0.389
0.7096,0.076,0.674,0.249
0.3182,0.146,0.668,0.186
0.0,0.0,1.0,0.0
0.2846,0.136,0.7,0.164
0.8074,0.0,0.628,0.372
0.25,0.112,0.737,0.151
-0.4926,0.242,0.758,0.0
0.0,0.0,1.0,0.0
0.0772,0.0,0.894,0.106
-0.296,0.18,0.82,0.0
0.5228,0.0,0.748,0.252
0.4215,0.0,0.417,0.583
0.4696,0.129,0.591,0.281
0.5423,0.0,0.69,0.31
0.3313,0.067,0.794,0.139
0.743,0.0,0.559,0.441
0.3182,0.0,0.723,0.277
-0.2263,0.128,0.872,0.0
-0.7506,0.273,0.652,0.075
-0.9118,0.264,0.736,0.0
0.5687,0.034,0.831,0.136
-0.2896,0.171,0.723,0.106
-0.2263,0.213,0.787,0.0
0.8487,0.048,0.696,0.257
0.5719,0.0,0.213,0.787
0.7156,0.153,0.561,0.286
-0.2263,0.194,0.688,0.117
0.6369,0.053,0.769,0.178
-0.25,0.118,0.882,0.0
-0.2263,0.192,0.808,0.0
0.8519,0.08,0.602,0.318
0.9325,0.065,0.553,0.381
-0.5423,0.2,0.8,0.0
0.4404,0.0,0.642,0.358
