compound,negative,neutral,positive
0.0,0.0,1.0,0.0
-0.34,0.167,0.833,0.0
0.7717,0.0,0.676,0.324
0.7247,0.0,0.496,0.504
0.2732,0.0,0.884,0.116
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2732,0.09,0.787,0.122
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.5994,0.29,0.71,0.0
0.0,0.0,1.0,0.0
-0.4912,0.261,0.739,0.0
-0.0609,0.055,0.894,0.05
0.5423,0.0,0.885,0.115
0.6114,0.0,0.334,0.666
-0.0516,0.163,0.684,0.153
0.6808,0.0,0.472,0.528
0.4137,0.0,0.913,0.087
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6239,0.0,0.328,0.672
0.0,0.0,1.0,0.0
0.5777,0.0,0.874,0.126
-0.1027,0.219,0.781,0.0
0.0859,0.1,0.78,0.12
0.0,0.0,1.0,0.0
0.69,0.089,0.725,0.186
-0.0276,0.127,0.752,0.121
0.0,0.0,1.0,0.0
0.5106,0.0,0.548,0.452
0.0,0.0,1.0,0.0
0.7717,0.029,0.808,0.164
0.4574,0.0,0.88,0.12
0.6705,0.046,0.811,0.143
0.0,0.0,1.0,0.0
0.743,0.0,0.601,0.399
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.7393,0.42,0.464,0.116
0.5267,0.0,0.855,0.145
0.7359,0.0,0.763,0.237
0.3612,0.0,0.667,0.333
0.802,0.083,0.605,0.312
0.6786,0.0,0.811,0.189
0.6369,0.0,0.856,0.144
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.1779,0.214,0.621,0.166
0.4404,0.0,0.256,0.744
0.0,0.0,1.0,0.0
0.7184,0.0,0.75,0.25
0.0,0.0,1.0,0.0
0.7584,0.081,0.721,0.198
-0.6239,0.141,0.859,0.0
-0.6124,0.5,0.5,0.0
-0.5562,0.374,0.626,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0258,0.066,0.867,0.068
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.7096,0.107,0.584,0.309
0.6808,0.0,0.728,0.272
0.8126,0.043,0.761,0.196
0.2748,0.095,0.754,0.151
0.8259,0.0,0.77,0.23
0.7494,0.191,0.147,0.661
0.7582,0.173,0.507,0.32
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.2714,0.0,0.92,0.08
