compound,negative,neutral,positive
0.4767,0.0,0.693,0.307
0.1531,0.159,0.647,0.194
0.6369,0.0,0.881,0.119
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.296,0.155,0.845,0.0
0.4416,0.052,0.829,0.119
0.7506,0.0,0.738,0.262
0.0,0.0,1.0,0.0
0.3182,0.0,0.839,0.161
0.4199,0.0,0.834,0.166
-0.5423,0.28,0.72,0.0
0.2641,0.145,0.666,0.188
0.296,0.261,0.471,0.268
-0.0284,0.123,0.78,0.097
-0.6369,0.188,0.669,0.143
0.5635,0.1,0.635,0.265
0.4263,0.0,0.639,0.361
0.4939,0.0,0.802,0.198
0.0,0.0,1.0,0.0
-0.4588,0.324,0.563,0.113
0.3182,0.0,0.723,0.277
0.7579,0.109,0.658,0.234
0.3182,0.0,0.723,0.277
0.7444,0.125,0.64,0.235
0.0,0.0,1.0,0.0
0.7935,0.042,0.692,0.267
0.0,0.0,1.0,0.0
0.705,0.106,0.715,0.179
0.8074,0.0,0.49,0.51
-0.2732,0.16,0.84,0.0
0.2263,0.0,0.929,0.071
-0.4588,0.214,0.786,0.0
0.5789,0.0,0.777,0.223
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.6808,0.0,0.728,0.272
0.4754,0.08,0.785,0.134
0.4215,0.0,0.263,0.737
-0.765,0.317,0.599,0.085
-0.3595,0.178,0.737,0.086
0.2444,0.117,0.722,0.161
0.4404,0.0,0.868,0.132
0.2263,0.0,0.863,0.137
-0.1531,0.372,0.319,0.309
0.25,0.108,0.735,0.157
0.0,0.0,1.0,0.0
-0.5023,0.162,0.768,0.071
0.7089,0.148,0.597,0.255
-0.0258,0.274,0.548,0.178
0.4404,0.0,0.707,0.293
0.5267,0.0,0.833,0.167
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
-0.4215,0.177,0.823,0.0
-0.5216,0.252,0.748,0.0
0.8774,0.0,0.284,0.716
0.9524,0.0,0.671,0.329
0.5256,0.0,0.371,0.629
0.7506,0.0,0.575,0.425
0.5267,0.0,0.541,0.459
-0.4767,0.756,0.244,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.743,0.0,0.613,0.387
0.0,0.0,1.0,0.0
0.4404,0.0,0.734,0.266
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.5859,0.0,0.441,0.559
0.2263,0.0,0.612,0.388
