username,content,date,userlocation,likecount,retweetcount,followers,url
s_rumniak,"Kto przyczynił się do wczorajszego zwycięskiego remisu z Hiszpanią? Jak wygląda nasza sytuacja po drugim meczu grupowym? Czy jesteśmy gotowi na Szwecję? To oraz wiele innych ciekawostek znajdziecie w nowym 3 minutowym wydaniu Kadra Time!
https://t.co/DiBGyzaAIh
#ESPPOL #EURO2020",2021-06-20 11:45:22+00:00,"Białobrzegi, Polska",6,2,671,https://twitter.com/s_rumniak/status/1406578923027189763
LukaszJachimiak,"""AS"" relację tytułuje: ""Policzek od Lewandowskiego"" [...] ""MARCA"" pisze, że ""Robert zna wszystkie języki, którymi mówi się w polu karnym"" i że ""to Lewandowski pożarł Aymerica Laporte, a nie na odwrót"" - jaka to jest miła prasówka od @J_Krecidlo !
#ESPPOL 
https://t.co/YmUvNfK3El",2021-06-20 11:43:26+00:00,,69,2,4869,https://twitter.com/LukaszJachimiak/status/1406578433950425091
Kacper_Pecka,Dobrej niedzieli! #POLSPA #ESPPOL https://t.co/bKPjZ2hYvK,2021-06-20 11:42:26+00:00,"Elbląg, Polska",62,6,2111,https://twitter.com/Kacper_Pecka/status/1406578181944000513
WarzochaKamil,"Nie ma bardziej trafnej statystyki, która tak dobrze oddawałaby nasze nowe nastawienie pod wodzą Paulo Sousy.

Okej, są błędy w obronie i czasami brak skuteczności pod bramką, ale po 180 minutach jesteśmy NAJLEPSI na Euro 2020 w naprawdę fajnym elemencie ✅
#ESPPOL #EURO2020 https://t.co/ZAkMXAZTeo",2021-06-20 11:42:13+00:00,Wrocław,5,0,2239,https://twitter.com/WarzochaKamil/status/1406578128466726913
Frontowiec2,"Na TVP1 leci właśnie powtórka wczorajszego meczu #Euro2020 #ESPPOL ""na specjalne życzenie widzów"".",2021-06-20 11:41:41+00:00,Danmark / Polska,5,0,411,https://twitter.com/Frontowiec2/status/1406577994848784386
K_Matyjasiak,Swarovski? To ten od biżuterii? 💍💎#ESPPOL #EURO2020 https://t.co/sskveJiTnm,2021-06-20 11:38:38+00:00,"Warszawa, Polska",2,0,100,https://twitter.com/K_Matyjasiak/status/1406577226154397698
wislakus1,Tak było 😉 #ESPPOL #HISPOL #EURO2020 https://t.co/TXoCbalqHA,2021-06-20 11:38:09+00:00,,2,0,547,https://twitter.com/wislakus1/status/1406577106566500353
Kamil59041718,Zawodnik meczu reprezentacji Hiszpanii  #ESPPOL https://t.co/MIjttEVxZi,2021-06-20 11:37:59+00:00,,1,0,0,https://twitter.com/Kamil59041718/status/1406577061712572416
Kameleon7119,"#ESPPOL #atleticodemadrid  #MocEuro #seleccionespanola 
Ok, wpadła z tej akcji bramka, co wynikało bardziej z indolencji Polski, ale dlaczego nie poszło podanie do Llorente ? W Atletico wielokrotnie wchodził z piłką w pole karne z tego sektora boiska i strzelał bramki. https://t.co/YIz7WMrvTx",2021-06-20 11:31:28+00:00,"Wielkopolskie, Polska",1,0,38,https://twitter.com/Kameleon7119/status/1406575423501262848
BSetlak,"W ogóle teraz oglądam powtórkę meczu #ESPPOL i widzę jeszcze więcej kompromitujących błędów Orsato. Wszyscy zawsze za taki stempel dają żółtą - słusznie - ten ma piękny przegląd pola i nic. 

A i tak pewnie dostanie kolejne mecze do prowadzenia. https://t.co/Iv3sYTJqdA",2021-06-20 11:31:13+00:00,"Kraków, Polska",5,1,740,https://twitter.com/BSetlak/status/1406575359357861892
PrawaStronaa,Aż sobie pooglądam powtórkę meczu od drugiej połowy w TVP teraz na spokojnie #ESPPOL,2021-06-20 11:30:49+00:00,Polska,5,0,7751,https://twitter.com/PrawaStronaa/status/1406575260380667905
vvkurwienie,no cóż.. rel #ESPPOL https://t.co/cYYcf7ykA1,2021-06-20 11:30:33+00:00,"Gdańsk, Polska",4,0,11727,https://twitter.com/vvkurwienie/status/1406575192638472196
d_wychowalek,"Ja rozumiem fajnie że #ESPPOL nie zakończył się kompromitacją, ale kurwa nie róbmy znowu tak, jakby wygrali Euro, bo napompujecie balonik, a ze Szwecją znowu spierdolą i zacznie się karuzela spierdolenia. Naprawdę. Nic jeszcze nie pokazali.",2021-06-20 11:10:32+00:00,Zabrze,3,0,507,https://twitter.com/d_wychowalek/status/1406570154708901891
PilkaNozna_pl,"🇵🇱 Przypominamy oceny polskich zawodników po meczu z Hiszpanią #ESPPOL

✍️ Noty wystawił @golaszewski_p 

WIĘCEJ ➡https://t.co/Xew5wa99Yx https://t.co/y2OLtNW3Ye",2021-06-20 11:09:09+00:00,Polska,1,0,41091,https://twitter.com/PilkaNozna_pl/status/1406569806720028674
SportINTERIA,"Niemieckie media pod wrażeniem występu @lewy_official w meczu Polski z Hiszpanią 🇵🇱🇪🇸 #ESPPOL #Lewy #EURO2020 

https://t.co/opu1vGcVuA",2021-06-20 11:07:55+00:00,Polska,3,0,5489,https://twitter.com/SportINTERIA/status/1406569496496779267
